"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0X050","2019-07-28 00:00:00","25.000","196.000","1.100","25.000","0.950","1003.900","-99.000","2.500","-99.000","-99.000","-99.000","33.700","","25.000",""
"C0W140","2019-07-28 00:00:00","21.000","118.000","1.300","26.900","0.850","1005.400","-99.000","0.000","-99.000","-99.000","-99.000","33.300","","26.700",""
"C0I410","2019-07-28 00:00:00","180.000","195.000","1.900","25.000","0.860","986.900","-99.000","2.500","-99.000","-99.000","-99.000","33.400","","24.300",""
"C0K250","2019-07-28 00:00:00","12.000","188.000","0.500","25.700","0.970","1006.000","-99.000","0.500","-99.000","-99.000","-99.000","34.500","","25.500",""
"C0AH80","2019-07-28 00:00:00","68.000","47.000","1.700","25.900","0.950","999.600","-99.000","0.000","-99.000","-99.000","-99.000","34.400","","24.500",""
"C0G830","2019-07-28 00:00:00","27.000","156.000","1.700","26.300","0.980","1002.500","-99.000","2.000","-99.000","-99.000","-99.000","33.000","","26.300",""
"C0E810","2019-07-28 00:00:00","53.000","0.000","0.200","24.300","0.990","1001.400","-99.000","3.000","-99.000","-99.000","-99.000","33.800","","24.100",""
"C0R640","2019-07-28 00:00:00","21.000","170.000","1.200","28.400","0.850","1006.400","-99.000","7.500","-99.000","-99.000","-99.000","30.300","","26.300",""
"C0D580","2019-07-28 00:00:00","120.000","0.000","0.000","23.300","0.990","993.600","-99.000","46.500","-99.000","-99.000","-99.000","32.700","","23.300",""
"C0M660","2019-07-28 00:00:00","40.000","178.000","1.800","26.100","0.890","1003.400","-99.000","1.500","-99.000","-99.000","-99.000","32.000","","26.000",""
"C0K330","2019-07-28 00:00:00","38.000","129.000","0.900","25.800","0.900","1002.700","-99.000","2.000","-99.000","-99.000","-99.000","34.000","","25.800",""
"C0E830","2019-07-28 00:00:00","37.000","77.000","0.900","26.600","0.900","1002.100","-99.000","6.500","-99.000","-99.000","-99.000","32.800","","26.500",""
"C0R420","2019-07-28 00:00:00","504.000","65.000","1.200","23.600","-99.000","949.000","-99.000","0.500","-99.000","-99.000","-99.000","30.200","","22.800",""
"C0X290","2019-07-28 00:00:00","10.000","151.000","1.400","27.800","0.850","1006.400","-99.000","0.000","-99.000","-99.000","-99.000","31.600","","27.400",""
"C0U760","2019-07-28 00:00:00","22.000","0.000","0.100","25.500","0.990","1007.600","-99.000","11.500","-99.000","-99.000","-99.000","32.800","","25.000",""
"C0U780","2019-07-28 00:00:00","15.000","174.000","0.500","27.800","0.800","1007.300","-99.000","0.000","-99.000","-99.000","-99.000","32.400","","26.500",""
"C0H9C0","2019-07-28 00:00:00","3402.000","144.000","1.800","9.500","0.810","677.800","-99.000","11.000","-99.000","-99.000","-99.000","14.700","","8.000",""
"C0V650","2019-07-28 00:00:00","28.000","121.000","1.800","27.700","0.800","1006.400","-99.000","0.000","-99.000","-99.000","-99.000","30.000","","26.600",""
"C0K470","2019-07-28 00:00:00","97.000","128.000","1.400","24.500","0.920","996.200","-99.000","28.500","-99.000","-99.000","-99.000","33.300","","24.300",""
"C0T9N0","2019-07-28 00:00:00","261.000","0.000","0.200","23.700","0.960","980.900","-99.000","3.500","-99.000","-99.000","-99.000","33.400","","23.500",""
"C0Z070","2019-07-28 00:00:00","247.000","0.000","0.100","24.300","0.990","981.900","-99.000","0.000","-99.000","-99.000","-99.000","33.600","","23.800",""
"C0Z280","2019-07-28 00:00:00","224.000","90.000","1.200","24.200","0.990","985.300","-99.000","0.000","-99.000","-99.000","-99.000","32.300","","23.700",""
"C0SA40","2019-07-28 00:00:00","200.000","0.000","0.000","24.000","0.970","987.700","-99.000","26.000","-99.000","-99.000","-99.000","33.200","","23.300",""
"C0V440","2019-07-28 00:00:00","27.000","103.000","0.500","26.500","0.840","1004.300","-99.000","0.000","-99.000","-99.000","-99.000","31.400","","26.000",""
